iter	Passed	Remaining
364	624	1086
365	626	1085
366	627	1082
367	628	1079
368	629	1077
369	630	1074
370	632	1071
371	633	1068
372	634	1065
373	635	1063
374	636	1060
375	637	1057
376	640	1057
377	641	1055
378	642	1052
379	643	1049
380	644	1046
381	645	1044
382	646	1041
383	647	1039
384	648	1036
385	649	1033
386	668	1058
387	673	1062
388	675	1061
389	678	1060
390	680	1059
391	682	1058
392	683	1056
393	686	1055
394	687	1053
395	689	1051
396	690	1048
397	691	1045
398	692	1043
399	693	1040
400	695	1038
401	696	1035
402	697	1032
403	698	1030
404	700	1029
405	701	1026
406	702	1023
407	703	1020
408	704	1017
409	705	1015
410	706	1012
411	707	1009
412	708	1007
413	709	1004
414	710	1001
415	711	999
416	713	997
417	715	995
418	716	992
419	717	990
420	718	987
421	718	984
422	720	982
423	721	979
424	722	976
425	723	974
426	723	971
427	724	968
428	726	966
429	727	963
430	728	961
431	730	960
432	731	957
433	732	955
434	733	953
435	734	950
436	735	947
437	736	945
438	737	942
439	738	939
440	739	937
441	740	935
442	741	932
443	742	930
444	745	929
445	746	927
446	747	924
447	748	922
448	749	919
449	750	917
450	752	915
451	753	913
452	755	911
453	756	909
454	757	907
455	761	907
456	762	905
457	763	903
458	764	901
459	766	899
460	767	896
461	768	894
